teks,category
"Saya Rifqi, sangat kecewa jalan di desa rusak parah",jalan rusak
"Pak, jalan depan rumah saya berlubang besar, mohon diperbaiki",jalan rusak
"Nama saya Budi, jalan menuju pasar rusak parah setelah hujan",jalan rusak
"Halo, saya Dewi. Jalan di RT 05 banyak lubang, berbahaya untuk motor",jalan rusak
"Selamat pagi, saya Hendra. Jalan utama desa retak-retak",jalan rusak
"Saya Kartini, jalan kampung becek dan berlumpur terus",jalan rusak
"Pak RT, jalan di gang sempit rusak total",jalan rusak
"Halo, saya Ahmad. Aspal jalan mulai mengelupas",jalan rusak
Jalan depan sekolah kondisinya memprihatinkan,jalan rusak
"Saya Indira, jalan ke puskesmas rusak berat",jalan rusak
"Pak, mohon perhatian jalan lingkungan kami ya",jalan rusak
"Alhamdulillah jalan sudah diperbaiki dengan baik, terima kasih",jalan rusak
Wah bagus sekali jalan baru sudah mulus,jalan rusak
Terima kasih banyak atas perbaikan jalan kampung kami,jalan rusak
"Jalan sudah diaspal dengan rapi, sangat puas",jalan rusak
Terima kasih sudah memperbaiki listrik di rumah saya,listrik
Listrik di rumah saya mati sejak kemarin sore,listrik
"Halo, saya Fitri. Listrik sering mati hidup",listrik
"Nama saya Tono, mohon cek meteran listrik rusak",listrik
"Pak, tiang listrik di jalan roboh kena angin",listrik
"Saya Ratna, kabel listrik putus di depan rumah",listrik
"Halo, listrik kampung kami padam total",listrik
"Saya Agus, trafo listrik sepertinya bermasalah",listrik
"Pak petugas, listrik drop terus di malam hari",listrik
"Nama saya Eka, mohon perbaikan sambungan listrik",listrik
"Listrik rumah konslet, butuh bantuan teknisi",listrik
Alhamdulillah listrik sudah normal kembali,listrik
Terima kasih tim PLN sudah cepat menangani,listrik
"Listrik sudah stabil, pelayanan memuaskan",listrik
"Bagus, perbaikan listrik sangat profesional",listrik
"Halo, saya Sinta. Air sudah mengalir lancar, terima kasih",air bersih
Air PDAM tidak mengalir sejak 3 hari,air bersih
"Halo, saya Maya. Air keruh dan bau",air bersih
"Nama saya Dedi, pipa air bocor besar",air bersih
Air sumur warga mengering,air bersih
"Saya Lina, tekanan air sangat lemah",air bersih
"Pak, pompa air rusak di kampung kami",air bersih
Air ledeng mati total di perumahan,air bersih
"Saya Bambang, air berwarna kuning",air bersih
"Halo, meteran air tidak berfungsi",air bersih
Air berbau kaporit terlalu kuat,air bersih
Alhamdulillah air sudah jernih dan lancar,air bersih
Terima kasih perbaikan pipa air sangat cepat,air bersih
"Air PDAM sudah normal, pelayanan bagus",air bersih
Pompa air baru bekerja dengan baik,air bersih
"Saya Joko, mohon perbaikan lampu jalan mati",lampu jalan
Lampu jalan di depan gang mati semua,lampu jalan
"Halo, saya Retno. Lampu penerangan jalan redup",lampu jalan
"Nama saya Galih, mohon pasang lampu jalan baru",lampu jalan
Lampu jalan putus kena pohon tumbang,lampu jalan
"Saya Nurul, jalan gelap total di malam hari",lampu jalan
"Pak RT, lampu jalan sudah rusak berbulan-bulan",lampu jalan
Tiang lampu jalan miring dan berbahaya,lampu jalan
"Saya Wawan, kabel lampu jalan terputus",lampu jalan
Lampu jalan kedip-kedip tidak normal,lampu jalan
Mohon tambah lampu jalan di tikungan,lampu jalan
Terima kasih lampu jalan sudah diperbaiki,lampu jalan
Lampu LED baru sangat terang dan bagus,lampu jalan
Penerangan jalan kini lebih aman,lampu jalan
Alhamdulillah lampu jalan berfungsi normal,lampu jalan
"Nama saya Andi, banjir lagi di kampung kami",banjir
Setiap hujan pasti banjir di sini,banjir
"Halo, saya Yani. Saluran air tersumbat sampah",banjir
"Nama saya Rudi, got mampet parah",banjir
Air hujan menggenang tidak surut-surut,banjir
"Saya Sari, drainase perlu dibersihkan",banjir
"Pak, selokan penuh lumpur dan sampah",banjir
Banjir kiriman dari hulu sungai,banjir
"Saya Hadi, pompa drainase tidak bekerja",banjir
Saluran pembuangan air rusak total,banjir
Jalan raya tergenang air setinggi mata kaki,banjir
Terima kasih sudah membersihkan saluran air,banjir
"Drainase sudah lancar, tidak banjir lagi",banjir
Pompa air bekerja dengan baik,banjir
Alhamdulillah tidak ada genangan lagi,banjir
TPS sampah sudah penuh dan berbau,sampah
"Halo, saya Ani. Sampah tidak diangkut seminggu",sampah
"Nama saya Joni, truk sampah jarang lewat",sampah
Sampah berserakan di pinggir jalan,sampah
"Saya Dina, tempat sampah rusak dan kotor",sampah
"Pak petugas, jadwal pengangkutan tidak teratur",sampah
Sampah menumpuk sampai ke jalan raya,sampah
"Saya Bayu, butuh tambahan tempat sampah",sampah
Sampah organik tidak dipisah dengan baik,sampah
Truk sampah rusak sering mogok,sampah
Terima kasih sampah sudah diangkut rutin,sampah
Tempat sampah baru sangat bersih,sampah
Pelayanan pengangkutan sampah meningkat,sampah
"Bagus, lingkungan jadi lebih bersih",sampah
Puskesmas kekurangan obat untuk diabetes,kesehatan
"Halo, saya Ida. Dokter jarang ada di puskesmas",kesehatan
"Nama saya Feri, antrian puskesmas terlalu panjang",kesehatan
Ambulans desa rusak tidak bisa dipakai,kesehatan
"Saya Tuti, fasilitas puskesmas kurang lengkap",kesehatan
"Pak dokter, jam buka puskesmas terlalu singkat",kesehatan
Obat-obatan sering kosong di apotek desa,kesehatan
"Saya Alam, perawat kurang ramah",kesehatan
Ruang tunggu puskesmas kotor dan sempit,kesehatan
Alat kesehatan di puskesmas banyak yang rusak,kesehatan
Terima kasih pelayanan puskesmas sangat baik,kesehatan
Dokter baru sangat ramah dan profesional,kesehatan
Obat sudah lengkap tersedia,kesehatan
Alhamdulillah fasilitas puskesmas memadai,kesehatan
Sekolah kekurangan guru matematika,pendidikan
"Halo, saya Rini. Atap sekolah bocor saat hujan",pendidikan
"Nama saya Cahyo, buku pelajaran belum datang",pendidikan
Fasilitas laboratorium sekolah rusak,pendidikan
"Saya Lia, WC sekolah kotor dan bau",pendidikan
"Pak kepala sekolah, meja kursi siswa patah",pendidikan
Internet sekolah sering putus-putus,pendidikan
"Saya Yoga, perpustakaan sekolah sepi",pendidikan
Lapangan sekolah rusak dan berbahaya,pendidikan
Kantin sekolah kurang bersih,pendidikan
Terima kasih guru baru sangat kompeten,pendidikan
Fasilitas sekolah sudah diperbaiki,pendidikan
Buku pelajaran sudah distribusi merata,pendidikan
Program sekolah semakin berkualitas,pendidikan
Maling sering masuk kampung di malam hari,keamanan
"Halo, saya Doni. Pos kamling tidak dijaga",keamanan
"Nama saya Sri, penerangan jalan kurang",keamanan
Banyak pemuda nongkrong sambil mabuk,keamanan
"Saya Ade, motor hilang di depan rumah",keamanan
"Pak RT, perlu ronda malam rutin",keamanan
Geng motor sering lewat bikin gaduh,keamanan
"Saya Nina, rumah dibobol pencuri",keamanan
Jalan sepi rawan kejahatan,keamanan
Pos polisi jarang ada petugas,keamanan
Terima kasih ronda sudah rutin lagi,keamanan
Situasi kampung sudah lebih aman,keamanan
Pos kamling sudah aktif kembali,keamanan
Polsek responsif menangani laporan,keamanan
Angkot jarang lewat dan tidak on time,transportasi
"Halo, saya Vina. Halte bus rusak dan kotor",transportasi
"Nama saya Rio, ongkos angkot naik terus",transportasi
Jalan tidak ada marka dan rambu,transportasi
"Saya Meta, ojek online susah di daerah sini",transportasi
"Pak, terminal becek dan berlumpur",transportasi
Sopir angkot sering ngebut bahaya,transportasi
"Saya Rangga, jembatan penyeberangan rusak",transportasi
Parkir liar bikin macet,transportasi
Bis kota jarang masuk kampung,transportasi
Terima kasih angkot sudah teratur,transportasi
Halte bus sudah diperbaiki rapi,transportasi
Akses transportasi semakin baik,transportasi
Marka jalan sudah jelas dan aman,transportasi
Pasar tradisional kotor dan bau,ekonomi
"Halo, saya Wati. Kios pasar bocor saat hujan",ekonomi
"Nama saya Eko, retribusi pasar terlalu mahal",ekonomi
Pedagang kaki lima sembarangan,ekonomi
"Saya Rina, parkir pasar sempit",ekonomi
"Pak lurah, pasar butuh renovasi",ekonomi
Toilet pasar sangat kotor,ekonomi
"Saya Agung, pedagang bandel parkir dimana-mana",ekonomi
Drainase pasar tersumbat,ekonomi
Lampu pasar sering mati,ekonomi
Terima kasih pasar sudah lebih bersih,ekonomi
Renovasi pasar sangat memuaskan,ekonomi
Fasilitas pasar semakin lengkap,ekonomi
Tata kelola pasar sudah tertib,ekonomi
Sungai tercemar limbah pabrik,lingkungan
"Halo, saya Desi. Udara bau dari TPA",lingkungan
"Nama saya Gani, pohon ditebang sembarangan",lingkungan
Pencemaran air sumur warga,lingkungan
"Saya Mira, asap pabrik ganggu pernapasan",lingkungan
"Pak RT, banyak sampah plastik di sungai",lingkungan
Polusi suara dari pabrik 24 jam,lingkungan
"Saya Hari, tanah longsor karena gundul",lingkungan
Pembakaran sampah bikin asap tebal,lingkungan
Limbah rumah tangga mencemari got,lingkungan
Terima kasih program penghijauan,lingkungan
Sungai sudah lebih bersih,lingkungan
Bank sampah berjalan dengan baik,lingkungan
Lingkungan jadi lebih asri,lingkungan
Pelayanan RT lambat dan berbelit,administrasi
"Halo, saya Kris. KTP susah diurus",administrasi
"Nama saya Yuli, surat tidak kunjung jadi",administrasi
Perangkat desa jarang ada,administrasi
"Saya Arif, biaya surat terlalu mahal",administrasi
"Pak sekdes, pelayanan kurang ramah",administrasi
Dokumen hilang di kantor desa,administrasi
"Saya Novi, antrian administrasi panjang",administrasi
Jam kerja perangkat tidak jelas,administrasi
Prosedur terlalu rumit dan lama,administrasi
Terima kasih pelayanan cepat dan ramah,administrasi
Surat sudah jadi tepat waktu,administrasi
Perangkat desa sangat helpful,administrasi
Prosedur sudah disederhanakan,administrasi
"Ya ampun, jalan rusak banget nih depan rumah",jalan rusak
"Waduh pak, listrik mati lagi dari tadi pagi",listrik
"Aduh, tiap hujan pasti kebanjiran deh",banjir
"Gimana nih pak RT, sampah numpuk terus",sampah
Kok lampu jalan mati melulu ya,lampu jalan
"Mohon bantuannya dong, air gak keluar",air bersih
"Pusing deh, motor dicuri maling",keamanan
Capek nungguin angkot lama banget,transportasi
"Serius nih, pasar bau dan jorok",ekonomi
Kasihan anak-anak sekolah atapnya bocor,pendidikan
Makasih banyak ya sudah diperbaiki,jalan rusak
Seneng banget listrik udah normal,listrik
Alhamdulillah gak banjir lagi,banjir
