teks,sentiment
"Saya puas dengan perbaikan jalan di desa kami",positif
"Pelayanan di kantor desa sangat cepat dan ramah",positif
"Fasilitas pendidikan di desa makin berkembang pesat",positif
"Pelayanan administrasi kependudukan sangat memuaskan",positif
"Saya merasa lingkungan lebih sehat berkat program sanitasi desa",positif
"Petugas desa sangat cepat tanggap ketika ada keluhan",positif
"Terima kasih atas pembangunan fasilitas baru di desa kami",positif
"Saya sangat bangga dengan kemajuan desa kami akhir-akhir ini",positif
"Pelayanan di kantor desa sangat efisien dan tidak berbelit",positif
"Saya senang lingkungan desa makin hijau dan terawat",positif
"Saya kecewa jalan desa masih banyak berlubang dan berdebu",negatif
"Pengaduan saya lambat ditanggapi, membuat saya kesal",negatif
"Lampu jalan sering mati sehingga terasa rawan saat malam",negatif
"Air bersih di rumah saya sering mati tanpa pemberitahuan",negatif
"Terima kasih atas perbaikan lampu jalan yang sudah dilakukan",positif
"Air bersih sudah lancar mengalir ke rumah saya, sangat bersyukur",positif
"Saya senang pengaduan saya langsung ditindaklanjuti dengan cepat",positif
"Petugas sangat membantu dan responsif dalam menangani keluhan kami",positif
"Saya bangga dengan pelayanan kesehatan di puskesmas desa",positif
"Fasilitas umum di lingkungan saya kini jauh lebih baik",positif
"Terima kasih atas pembangunan jembatan baru yang sangat bermanfaat",positif
"Saya merasa aman dengan adanya patroli keamanan rutin",positif
"Pengelolaan sampah di desa semakin tertata rapi",positif
"Pelayanan di kantor kelurahan sangat profesional dan ramah",positif
"Terima kasih atas bantuan sosial yang diberikan tepat waktu",positif
"Saya senang fasilitas olahraga desa makin lengkap dan terawat",positif
"Perbaikan jalan di dusun kami membuat perjalanan jadi lancar",positif
"Saya apresiasi respons cepat dari petugas terhadap laporan saya",positif
"Pelayanan administrasi desa sangat mudah dan transparan",positif
"Terima kasih atas peningkatan layanan kesehatan di desa",positif
"Saya senang lingkungan desa makin bersih dan nyaman",positif
"Pelayanan administrasi di kantor desa sangat lambat dan membingungkan",negatif
"Sampah di sekitar lingkungan menumpuk dan tidak segera diangkut",negatif
"Petugas pengaduan kurang ramah dan sulit dihubungi",negatif
"Jalan menuju sekolah rusak parah dan membahayakan anak-anak",negatif
"Fasilitas umum kurang terawat dan banyak yang rusak",negatif
"Saya merasa keluhan saya tidak dianggap serius oleh petugas",negatif
"Saya Rifqi, sangat kecewa jalan di desa rusak parah",negatif
"Pak, jalan depan rumah saya berlubang besar, mohon diperbaiki",negatif
"Nama saya Budi, jalan menuju pasar rusak parah setelah hujan",negatif
